"sci.name"	"ESI_w"	"freq_w"	"ESI_nf"	"freq_nf"	"ESI_f"	"freq_f"
"Abies alba"	5.47596637225473	1864	5.12988145181365	58	5.46391517658039	1934
"Acer campestre"	4.85654943524528	1088	3.88520619712547	166	4.964682881708	1205
"Acer negundo"	4.56910582710616	113	4.65723762097356	58	5.24928130922285	62
"Acer platanoides"	5.1589719841286	1054	3.91648388322129	79	5.18970711069355	1156
"Acer pseudoplatanus"	5.15613404740133	3129	3.82758311685321	253	5.18270684312064	3266
"Achillea asplenifolia"	7.3066281417198	39	7.30108440280139	40	NA	NA
"Achillea millefolium agg."	3.82428054918942	12656	3.89691290332513	12442	4.40081078217337	499
"Achillea nobilis"	4.18543241944421	47	4.37200418685969	41	NA	NA
"Achillea pannonica"	5.30452206165844	403	5.36435541673325	418	5.34374675938942	30
"Achillea ptarmica"	5.93908015480047	604	5.97343688807159	620	5.0126582278481	11
"Achillea setacea"	5.31178619928709	214	5.32615602794999	212	NA	NA
"Achillea styriaca"	5.19207023517274	52	5.33749232058929	23	5.55749765943417	32
"Acinos arvensis"	4.58473877464381	731	4.59117253289008	777	4.66229129569002	34
"Aconitum anthora"	5.09784283513097	13	NA	NA	NA	NA
"Aconitum firmum subsp. moravicum"	5.86377214225545	43	5.68549266453707	23	6.32351892852317	33
"Aconitum lycoctonum"	5.82648011062891	58	5.30168049772011	16	5.71097051549235	76
"Aconitum plicatum"	4.48400738306979	163	4.49528604705211	113	5.72856287884625	63
"Aconitum variegatum"	5.00026631020367	115	5.17979011815823	86	5.52622690446686	55
"Acorus calamus"	3.80229389272676	383	3.77070143412539	395	NA	NA
"Actaea europaea"	6.18400556789182	15	NA	NA	6.35227272727273	13
"Actaea spicata"	5.89953545408423	1401	4.90526960899112	74	5.89824277887281	1449
"Adenophora liliifolia"	5.90526315789474	11	NA	NA	NA	NA
"Adenostyles alliariae"	5.70835445797205	78	5.88331415484952	54	6.31387274567515	51
"Adonis aestivalis"	6.4759143904426	187	6.5173385011601	188	NA	NA
"Adonis vernalis"	5.63821028025404	214	5.86203972989311	203	5.55757237273911	23
"Adoxa moschatellina"	5.50792331697498	426	4.37980075864706	68	5.59360675087971	438
"Aegopodium podagraria"	3.87075693787393	5250	4.09217534367248	3197	5.16762483545306	2428
"Aesculus hippocastanum"	4.87994138109924	35	NA	NA	5.10495571682211	33
"Aethusa cynapium"	5.50646801653998	682	5.84686591239314	638	5.5459974176276	63
"Agrimonia eupatoria"	5.2153750846682	1240	5.29712364346278	1227	4.54032449368659	52
"Agrostemma githago"	5.38632090248785	23	5.31762075189887	22	NA	NA
"Agrostis canina"	5.38365821524177	2357	5.51905025687231	2282	4.31170171761913	162
"Agrostis capillaris"	4.14413738694332	6832	4.42212117206983	6237	4.18406908752434	805
"Agrostis gigantea"	3.47198517118632	499	3.65146978234194	472	4.67070917211657	43
"Agrostis rupestris"	5.65348385309005	18	5.87006730591923	18	NA	NA
"Agrostis stolonifera"	3.46507475362301	4166	3.55752683352146	4041	4.04839505359211	267
"Agrostis vinealis"	4.79912339701744	468	4.91119099492297	454	5.20292107831452	25
"Ailanthus altissima"	4.74785820240366	16	NA	NA	4.91228070175439	10
"Aira caryophyllea"	4.6645896858014	20	4.69997427617193	21	NA	NA
"Aira praecox"	5.31667091102843	41	5.3183577716022	41	NA	NA
"Ajuga chamaepitys subsp. chamaepitys"	5.25679137526324	34	5.40609243038539	34	NA	NA
"Ajuga genevensis"	3.9131863800102	599	4.18701508003566	415	4.4998958948215	250
"Ajuga reptans"	4.16864860251664	3802	5.07148185535005	1987	5.1385784864317	2033
"Alchemilla"	5.33125232305267	5208	5.37488223927764	5183	4.99542142118464	90
"Alisma gramineum"	4.49019275725056	89	4.45844555893047	89	NA	NA
"Alisma lanceolatum"	4.24502100156113	104	4.36136581895066	112	NA	NA
"Alisma plantago-aquatica"	3.93633205240838	1648	3.98063997642569	1627	5.01422861976651	35
"Alliaria petiolata"	4.28546979697245	1896	3.834012974521	693	4.81301025668721	1537
"Allium angulosum"	5.75542998237996	85	5.84350253447661	78	NA	NA
"Allium carinatum"	6.93093372792621	14	6.98494445593091	15	NA	NA
"Allium flavum"	4.86649209760743	174	4.97638289190671	159	5.0903880513808	36
"Allium oleraceum"	3.92235744821174	377	4.38871032334968	316	4.43871351598513	92
"Allium rotundum"	3.57778250165927	26	3.77556962908405	22	NA	NA
"Allium sativum"	4.90807327001357	13	4.99281735213939	14	NA	NA
"Allium schoenoprasum"	4.02540166955644	41	4.28593607445224	39	NA	NA
"Allium scorodoprasum"	4.34217992933246	202	4.93840400597689	158	4.4134209451407	51
"Allium senescens subsp. montanum"	4.53673658424599	540	4.67516400235788	548	5.24605837703133	88
"Allium sphaerocephalon"	5.25774453210151	27	5.20362510228609	28	NA	NA
"Allium strictum"	5.85987736053957	31	6.27630595590461	31	NA	NA
"Allium ursinum"	5.39770886771571	233	4.76647233643046	38	5.47259084093466	229
"Allium vineale"	3.8532244373947	156	4.26332067752425	112	4.60991466299381	51
"Alnus alnobetula"	4.11862233399705	28	5.20074211502783	12	7.25232641374374	13
"Alnus glutinosa"	4.74054204299037	1904	3.4990715582263	314	4.87964192942655	1870
"Alnus incana"	5.14924093799304	456	4.42063281625213	76	5.26836355293118	419
"Alopecurus aequalis"	4.58987435340896	1657	4.59173801351763	1666	4.73275058275059	17
"Alopecurus geniculatus"	3.92396137580743	97	3.89392727817646	99	NA	NA
"Alopecurus pratensis"	5.22060567346612	5792	5.28302449250573	5766	4.48642315630183	157
"Alyssum alyssoides"	4.30886855769927	294	4.33799771319341	314	NA	NA
"Alyssum montanum"	5.49033755894471	221	5.45017092278786	245	4.65157737539668	13
"Amaranthus albus"	5.01680237239367	43	5.06874332757148	45	NA	NA
"Amaranthus blitum"	5.35057236081838	22	5.35057236081838	22	NA	NA
"Amaranthus hybridus"	5.80246913580247	10	5.80246913580247	10	NA	NA
"Amaranthus powellii"	5.43219445888183	196	5.47839033181437	191	NA	NA
"Amaranthus retroflexus"	4.99217393682107	804	4.97146183998423	818	NA	NA
"Anacamptis pyramidalis"	7.21595547309833	12	7.07832029493751	13	NA	NA
"Anagallis arvensis"	5.80740267137318	1472	5.7925808414715	1495	NA	NA
"Anagallis foemina"	6.20707563623626	122	6.19900610619376	122	NA	NA
"Anchusa officinalis"	3.9767121345773	34	3.8008866651601	32	NA	NA
"Andromeda polifolia"	6.87153750575412	244	6.84998150046691	214	7.19056846617487	69
"Androsace elongata"	4.65948030464159	15	4.84730694837078	14	NA	NA
"Anemonastrum narcissiflorum"	5.72159044406389	25	6.17499428675899	18	NA	NA
"Anemone nemorosa"	4.1023556830335	3236	5.02636857695927	1245	4.82300766316536	2320
