PLOT	ELEVATION	SLOPE	ASPSSW	HEAT.LOAD	SURFSL	SURFIS	LITHIC	SKELETIC	CAMBISOL	FLUVISOL	SOILDPT	pH	COVERE32
1	440	30	157.5	0.95	1	1	0	0	1	0	18.00	5.10	44.75
2	420	37	177.5	1.016	0	-1	1	0	1	0	11.00	4.09	60
3	440	30	137.5	0.859	1	1	0	0	1	0	28.17	4.10	72
4	425	50	147.5	0.93	0	1	1	0	1	0	15.33	4.15	27.75
5	405	50	137.5	0.85	-1	-1	0	1	0	1	44.67	5.35	92
6	435	5	137.5	0.699	-1	0	0	1	1	1	32.50	5.09	90
7	450	35	147.5	0.931	0	1	0	1	1	0	12.67	3.58	74.5
8	475	35	137.5	0.871	1	1	0	0	1	0	8.00	3.77	52
9	440	65	177.5	0.955	1	-1	1	0	1	0	8.50	3.75	12.6
10	460	70	127.5	0.624	1	1	1	0	0	0	3.83	3.81	16.3
11	435	15	172.5	0.827	-1	0	0	1	0	1	35.17	4.28	94
12	450	35	172.5	0.988	0	0	1	0	1	0	5.00	3.81	52
13	475	30	117.5	0.731	-1	0	0	0	1	0	20.50	4.83	40.5
14	455	30	117.5	0.731	0	0	0	0	1	0	32.33	4.02	76
15	435	5	147.5	0.706	0	0	0	1	0	1	42.67	4.61	94
16	450	55	147.5	0.911	-1	-1	1	1	0	0	18.17	4.27	91
17	470	30	127.5	0.798	0	-1	0	1	0	0	19.00	4.66	79
18	495	15	112.5	0.7	0	1	1	0	1	0	14.17	3.82	66
19	485	55	127.5	0.732	1	-1	1	0	1	0	16.67	3.75	43
20	470	40	157.5	0.993	0	-1	1	1	0	0	21.50	4.16	74.5
21	450	35	137.5	0.871	0	-1	1	0	0	0	0.50	3.44	6.9
22	435	10	137.5	0.742	-1	0	0	0	1	1	38.00	4.01	94
23	445	30	107.5	0.663	0	-1	1	1	0	0	12.50	3.75	55
24	465	35	147.5	0.931	0	-1	1	0	1	0	13.33	3.60	76.25
25	485	30	167.5	0.973	0	-1	1	0	1	0	15.67	3.55	65
26	515	45	87.5	0.441	0	-1	0	1	1	0	29.67	3.95	88
27	495	32	87.5	0.522	0	-1	0	1	1	0	24.50	3.79	79
28	475	30	67.5	0.428	-1	0	0	1	1	0	15.50	3.58	58
29	455	45	77.5	0.376	0	0	0	0	1	0	35.50	3.86	65
30	440	20	77.5	0.544	-1	0	0	1	0	1	30.00	4.13	82
31	450	25	127.5	0.79	-1	0	0	1	0	1	22.50	6.41	92.5
32	475	45	117.5	0.688	0	1	0	0	1	0	27.17	6.76	82
33	500	50	127.5	0.759	1	0	1	0	1	0	12.50	6.14	76
34	485	45	97.5	0.515	1	0	1	0	1	0	36.67	4.14	91
35	470	35	107.5	0.646	0	-1	0	1	0	0	20.17	4.08	62
36	455	35	107.5	0.646	0	1	0	1	1	0	20.67	5.15	81.25
37	450	25	102.5	0.884	-1	0	0	0	1	1	27.50	4.46	85
38	475	55	112.5	0.975	1	1	1	0	0	0	9.00	3.80	50.5
39	495	47	152.5	0.961	1	1	1	0	1	0	16.33	3.61	43
40	505	17	112.5	0.843	0	1	0	0	1	0	32.33	3.76	71.5
41	505	30	122.5	0.973	0	0	0	0	1	0	24.83	3.83	71.5
42	485	30	107.5	0.934	0	-1	0	1	1	0	19.83	4.32	64
43	470	50	112.5	0.992	0	-1	1	0	1	0	24.67	4.26	77.5
44	455	25	122.5	0.933	-1	-1	0	0	1	1	33.33	4.72	96
45	510	28	112.5	0.938	0	1	0	0	1	0	19.50	4.00	77.5
46	500	35	102.5	0.932	1	1	1	0	1	0	21.00	3.55	52.5
47	480	60	112.5	0.947	1	0	1	0	1	0	12.33	3.82	68
48	455	45	122.5	1.03	0	0	0	0	1	0	15.67	4.34	72
49	440	2	92.5	0.672	0	0	0	0	0	1	63.17	5.07	64
50	445	15	102.5	0.805	-1	-1	0	1	1	0	17.17	4.39	83
51	460	30	102.5	0.912	0	-1	0	1	1	0	26.33	4.99	71.5
52	475	40	102.5	0.941	0	-1	0	0	1	0	29.33	4.75	68.5
53	490	35	92.5	0.871	0	-1	0	1	1	0	31.50	4.78	70
54	510	35	92.5	0.871	0	-1	0	0	1	0	21.67	4.36	75.5
55	430	0	17.5	0.653	-1	0	0	0	0	1	64.83	4.78	92
56	450	20	2.5	0.37	-1	0	0	1	1	0	26.83	4.26	86.05
57	460	40	2.5	0.198	0	0	0	0	1	0	34.17	4.92	82
58	475	40	22.5	0.205	0	0	0	0	1	0	57.67	4.09	54.5
59	495	25	22.5	0.324	0	0	0	0	1	0	28.67	4.01	48
60	490	30	82.5	0.798	0	0	0	0	1	0	45.33	3.99	85
61	470	35	82.5	0.799	-1	0	0	1	1	0	27.17	4.71	82
62	450	35	72.5	0.723	0	0	0	1	1	0	19.00	3.87	68
63	430	50	72.5	0.663	-1	-1	1	1	0	0	22.50	4.14	19.25
64	430	20	42.5	0.587	-1	0	0	0	1	1	39.83	4.83	80
65	455	35	62.5	0.646	0	0	0	0	1	0	35.50	3.90	62
66	475	40	52.5	0.544	0	0	1	0	1	0	34.83	4.03	75
67	485	38	32.5	0.422	0	1	1	0	1	0	38.00	4.59	80.5
68	520	40	67.5	0.355	0	0	1	0	1	0	33.67	4.20	90
69	495	45	67.5	0.322	0	0	0	0	1	0	31.17	3.91	67.5
70	475	45	67.5	0.322	0	-1	0	0	1	0	39.67	3.86	66.75
71	450	55	67.5	0.263	0	0	0	1	1	0	30.83	4.16	82
72	435	50	57.5	0.249	-1	0	0	1	1	1	23.33	4.42	82
73	460	57	57.5	0.212	-1	0	0	1	1	0	25.50	3.76	61.75
74	490	35	57.5	0.347	1	1	1	0	1	0	18.50	3.80	47.5
75	498	30	100.5	0.903	1	0	0	0	1	0	25.67	4.00	72
76	473	18	87.5	0.784	0	1	1	0	0	0	6.67	3.65	22.4
77	454	78	122.5	0.821	0	1	1	0	0	0	1.83	3.75	14.5
78	433	18	87.5	0.784	-1	0	0	1	1	1	39.00	4.55	87
79	495	25	82.5	0.79	0	0	1	0	1	0	20.67	3.75	84.4
80	470	48	87.5	0.813	0	-1	0	1	1	0	25.17	3.90	76
81	450	40	87.5	0.834	0	-1	0	1	0	0	17.00	4.15	66
82	430	22	87.5	0.804	-1	0	0	1	0	1	11.67	4.30	74
83	500	28	82.5	0.796	0	0	1	0	1	0	34.33	3.80	71.84
84	475	27	82.5	0.794	0	0	0	1	1	0	24.50	3.65	73
85	445	48	82.5	0.768	0	-1	0	1	1	0	34.17	3.70	70.25
86	425	88	77.5	0.434	-1	0	0	1	1	1	25.83	4.15	81.25
87	530	28	82.5	0.517	1	1	1	0	1	0	11.33	4.15	57.25
88	505	63	82.5	0.3	0	0	1	0	0	0	8.83	3.70	67.1
89	465	55	72.5	0.288	0	0	1	0	1	0	17.67	3.65	66.05
90	430	15	67.5	0.544	-1	0	0	1	0	0	14.67	4.35	70.75
91	520	38	107.5	0.633	0	-1	1	0	1	0	16.67	4.25	67.45
92	485	35	77.5	0.443	0	0	0	1	0	0	7.67	4.25	40
93	455	25	77.5	0.511	0	0	0	1	1	0	22.00	4.30	75.4
94	430	28	62.5	0.421	-1	0	0	1	0	0	6.50	4.80	44.75
95	505	38	72.5	0.395	1	1	1	0	1	0	17.00	3.90	71.3
96	485	55	67.5	0.263	0	1	0	1	0	0	25.33	3.90	41.5
97	430	75	78.5	0.22	0	0	1	0	0	0	1.00	4.10	23.5
