spec_name	spec_name_ESI
Achillea millefolium	Achillea millefolium agg.
Achillea styriaca	Achillea styriaca
Aconitum lycoctonum	Aconitum lycoctonum
Aconitum variegatum	Aconitum variegatum
Actaea spicata	Actaea spicata
Aegopodium podagraria	Aegopodium podagraria
Aethusa cynapium	Aethusa cynapium
Agrostis canina	Agrostis canina
Agrostis capillaris	Agrostis capillaris
Agrostis stolonifera	Agrostis stolonifera
Ajuga genevensis	Ajuga genevensis
Ajuga reptans	Ajuga reptans
Alisma plantago-aquatica	Alisma plantago-aquatica
Alliaria petiolata	Alliaria petiolata
Allium senescens subsp. montanum	Allium senescens subsp. montanum
Allium species	Allium species
Anemone nemorosa	Anemone nemorosa
Angelica sylvestris	Angelica sylvestris
Anthericum ramosum	Anthericum ramosum
Anthriscus sylvestris	Anthriscus sylvestris
Arrhenatherum elatius	Arrhenatherum elatius
Artemisia vulgaris	Artemisia vulgaris
Asarum europaeum	Asarum europaeum
Asplenium septentrionale	Asplenium septentrionale
Asplenium trichomanes	Asplenium trichomanes
Astragalus glycyphyllos	Astragalus glycyphyllos
Athyrium filix-femina	Athyrium filix-femina
Aurinia saxatilis subsp. saxatilis	Aurinia saxatilis subsp. saxatilis
Avenella flexuosa	Avenella flexuosa
Betonica officinalis	Betonica officinalis
Bidens frondosus	Bidens frondosus
Bidens tripartitus	Bidens tripartitus
Brachypodium pinnatum	Brachypodium pinnatum
Bromus benekenii	Bromus benekenii
Calamagrostis arundinacea	Calamagrostis arundinacea
Calamagrostis epigejos	Calamagrostis epigejos
Calluna vulgaris	Calluna vulgaris
Caltha palustris	Caltha palustris
Calystegia sepium	Calystegia sepium
Campanula patula	Campanula patula
Campanula persicifolia	Campanula persicifolia
Campanula rapunculoides	Campanula rapunculoides
Campanula rotundifolia	Campanula rotundifolia agg.
Campanula trachelium	Campanula trachelium
Cardamine amara	Cardamine amara subsp. amara
Cardamine flexuosa	Cardamine flexuosa
Cardamine impatiens	Cardamine impatiens
Arabidopsis arenosa	Arabidopsis arenosa
Carduus personata	Carduus personata
Carduus species	Carduus species
Carex acuta	Carex acuta
Carex brizoides	Carex brizoides
Carex buekii	Carex buekii
Carex digitata	Carex digitata
Carex muricata agg.	Carex muricata agg.
